Operateur,x,y,2G,3G,4G
SFR,200574,6791060,1,1,1
Bouygues,200606,6827985,1,1,1
SFR,200606,6827985,0,0,1
SFR,200632,6849098,1,1,0
Bouygues,200763,6781025,1,1,1
SFR,200772,6781007,1,1,1
Orange,200774,6781009,1,1,0
Orange,200810,6765870,1,1,0
Bouygues,201084,6833447,1,1,1
SFR,201084,6833447,1,1,1
Bouygues,201110,6788147,1,1,1
SFR,201110,6788147,1,1,1
Free,201112,6788165,0,1,1
Orange,201113,6788169,1,1,1
Bouygues,201331,6852484,1,1,0
Free,201357,6852471,0,1,1
Orange,201485,6791116,1,1,1
Bouygues,202751,6814643,1,1,1
SFR,202751,6814643,1,1,1
Bouygues,203001,6776060,1,1,1
SFR,203001,6776060,1,1,1
Orange,203089,6774425,1,1,0
Orange,203809,6782559,1,0,0
